source,dst,tag,type,branch,pattern
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/imgeditor/MCL_imgeditor/,/sf/app/imgeditor,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/imgvieweruis/MCL_imgvieweruis/,/sf/app/imgvieweruis,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/iptelephony/MCL_iptelephony/,/sf/app/iptelephony,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/java/MCL_java/,/sf/app/java,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/location/MCL_location/,/sf/app/location,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/messaging/MCL_messaging/,/sf/app/messaging,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/mmsharinguis/MCL_mmsharinguis/,/sf/app/mmsharinguis,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/musicplayer/MCL_musicplayer/,/sf/app/musicplayer,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/organizer/MCL_organizer/,/sf/app/organizer,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/phone/MCL_phone/,/sf/app/phone,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/photos/MCL_photos/,/sf/app/photos,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/poc/MCL_poc/,/sf/app/poc,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/printing/MCL_printing/,/sf/app/printing,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/profile/MCL_profile/,/sf/app/profile,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/radio/MCL_radio/,/sf/app/radio,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/screensaver/MCL_screensaver/,/sf/app/screensaver,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/settingsuis/MCL_settingsuis/,/sf/app/settingsuis,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/speechsrv/MCL_speechsrv/,/sf/app/speechsrv,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/techview/MCL_techview/,/sf/app/techview,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/test/MCL_test/,/sf/app/test,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/utils/MCL_utils/,/sf/app/utils,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/videocenter/MCL_videocenter/,/sf/app/videocenter,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/videoeditor/MCL_videoeditor/,/sf/app/videoeditor,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/videoplayer/MCL_videoplayer/,/sf/app/videoplayer,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/videotelephony/MCL_videotelephony/,/sf/app/videotelephony,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/app/voicerec/MCL_voicerec/,/sf/app/voicerec,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/epl/sf/app/webuis/MCL_webuis/,/sf/app/webuis,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/accesssec/MCL_accesssec/,/sf/mw/accesssec,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/appinstall/MCL_appinstall/,/sf/mw/appinstall,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/appsupport/MCL_appsupport/,/sf/mw/appsupport,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/camerasrv/MCL_camerasrv/,/sf/mw/camerasrv,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/classicui/MCL_classicui/,/sf/mw/classicui,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/dlnasrv/MCL_dlnasrv/,/sf/mw/dlnasrv,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/drm/MCL_drm/,/sf/mw/drm,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/hapticsservices/MCL_hapticsservices/,/sf/mw/hapticsservices,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/homescreensrv/MCL_homescreensrv/,/sf/mw/homescreensrv,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/imghandling/MCL_imghandling/,/sf/mw/imghandling,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/imsrv/MCL_imsrv/,/sf/mw/imsrv,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/inputmethods/MCL_inputmethods/,/sf/mw/inputmethods,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/ipappprotocols/MCL_ipappprotocols/,/sf/mw/ipappprotocols,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/ipappsrv/MCL_ipappsrv/,/sf/mw/ipappsrv,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/ipconnmgmt/MCL_ipconnmgmt/,/sf/mw/ipconnmgmt,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/legacypresence/MCL_legacypresence/,/sf/mw/legacypresence,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/locationsrv/MCL_locationsrv/,/sf/mw/locationsrv,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/mds/MCL_mds/,/sf/mw/mds,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/messagingmw/MCL_messagingmw/,/sf/mw/messagingmw,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/metadatasrv/MCL_metadatasrv/,/sf/mw/metadatasrv,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/mmappfw/MCL_mmappfw/,/sf/mw/mmappfw,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/mmmw/MCL_mmmw/,/sf/mw/mmmw,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/mmuifw/MCL_mmuifw/,/sf/mw/mmuifw,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/mobiletv/MCL_mobiletv/,/sf/mw/mobiletv,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/netprotocols/MCL_netprotocols/,/sf/mw/netprotocols,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/networkingdm/MCL_networkingdm/,/sf/mw/networkingdm,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/opensrv/MCL_opensrv/,/sf/mw/opensrv,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/phonesrv/MCL_phonesrv/,/sf/mw/phonesrv,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/remoteconn/MCL_remoteconn/,/sf/mw/remoteconn,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/remotemgmt/MCL_remotemgmt/,/sf/mw/remotemgmt,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/remotestorage/MCL_remotestorage/,/sf/mw/remotestorage,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/securitysrv/MCL_securitysrv/,/sf/mw/securitysrv,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/epl/sf/mw/serviceapi/MCL_serviceapi/,/sf/mw/serviceapi,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/epl/sf/mw/serviceapifw/MCL_serviceapifw/,/sf/mw/serviceapifw,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/shortlinkconn/MCL_shortlinkconn/,/sf/mw/shortlinkconn,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/svgt/MCL_svgt/,/sf/mw/svgt,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/uiaccelerator/MCL_uiaccelerator/,/sf/mw/uiaccelerator,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/uiresources/MCL_uiresources/,/sf/mw/uiresources,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/uitools/MCL_uitools/,/sf/mw/uitools,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/videoutils/MCL_videoutils/,/sf/mw/videoutils,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/vpnclient/MCL_vpnclient/,/sf/mw/vpnclient,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/epl/sf/mw/web/MCL_web/,/sf/mw/web,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/websrv/MCL_websrv/,/sf/mw/websrv,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/mw/wirelessacc/MCL_wirelessacc/,/sf/mw/wirelessacc,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/os/boardsupport/MCL_boardsupport/,/sf/os/boardsupport,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/os/buildtools/MCL_buildtools/,/sf/os/buildtools,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/os/cellularsrv/MCL_cellularsrv/,/sf/os/cellularsrv,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/os/commsfw/MCL_commsfw/,/sf/os/commsfw,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/os/deviceplatformrelease/MCL_deviceplatformrelease/,/sf/os/deviceplatformrelease,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/os/devicesrv/MCL_devicesrv/,/sf/os/devicesrv,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/os/graphics/MCL_graphics/,/sf/os/graphics,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/os/imagingext/MCL_imagingext/,/sf/os/imagingext,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/os/kernelhwsrv/MCL_kernelhwsrv/,/sf/os/kernelhwsrv,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/os/lbs/MCL_lbs/,/sf/os/lbs,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/os/misc/MCL_misc/,/sf/os/misc,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/os/mm/MCL_mm/,/sf/os/mm,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/os/networkingsrv/MCL_networkingsrv/,/sf/os/networkingsrv,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/os/ossrv/MCL_ossrv/,/sf/os/ossrv,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/os/persistentdata/MCL_persistentdata/,/sf/os/persistentdata,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/os/security/MCL_security/,/sf/os/security,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/os/shortlinksrv/MCL_shortlinksrv/,/sf/os/shortlinksrv,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/os/textandloc/MCL_textandloc/,/sf/os/textandloc,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/os/unref/MCL_unref/,/sf/os/unref,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/os/wlan/MCL_wlan/,/sf/os/wlan,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/os/xmlsrv/MCL_xmlsrv/,/sf/os/xmlsrv,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/ostools/osrndtools/MCL_osrndtools/,/sf/ostools/osrndtools,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/tools/build_s60/MCL_build_s60/,/sf/tools/build_s60,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/tools/buildplatforms/MCL_buildplatforms/,/sf/tools/buildplatforms,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/tools/homescreentools/MCL_homescreentools/,/sf/tools/homescreentools,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/tools/makefile_templates/MCL_makefile_templates/,/sf/tools/makefile_templates,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/tools/platformtools/MCL_platformtools/,/sf/tools/platformtools,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/tools/rndtools/MCL_rndtools/,/sf/tools/rndtools,tip,tag,default,layers.sysdef.xml
//lon-engbuild87/d$/mercurial_master/sfl/sf/tools/swconfigtools/MCL_swconfigtools/,/sf/tools/swconfigtools,tip,tag,default,layers.sysdef.xml
